post_id,date,text,s3,tags,img_old_src
100000465658,2014-10-14,"<img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100000465658.jpg ""> 
<div class=""caption"">
 <p>A vintage postcard of Lake Chatcolet, Idaho. From the <a href=""http://www.lib.uidaho.edu/digital/postcards/"" target=""_blank"">Northwest Historical Postcards Collection</a>.</p> 
</div>",yes,vintage; postcard; postcards; idaho; history; bridges; trains; trees; landscapes,../../media/100000465658.jpg 
100083311374,2014-10-15,"<img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100083311374.jpg ""> 
<div class=""caption"">
 <p>Portrait of Sylvia Thayer, who was married in a surprise ceremony on Christmas Day, 1911.</p> 
 <p>From the <a href=""http://www.lib.uidaho.edu/digital/barstock/"" target=""_blank"">Barnard Stockbridge Photograph Collection</a>.</p> 
</div>",yes,vintage; vintage fashion; women; portraits; photography; black and white; sepia,../../media/100083311374.jpg 
100165448055,2014-10-16,"<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100165448055_0.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100165448055_1.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100165448055_2.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100165448055_3.jpg""> </p> 
<div class=""caption"">
 <p>Idaho students were geared to go. Rugged hills and icy, gravel-covered paths forced almost everyone to wear sensible clothing. Granola hiking books, preppy duck shoes, or kicky cowboy boots allowed students to express their individual styles and still keep their traction. Students kept the cold out with leather jackets or water-repellent coats in colors such as lime, magenta, and navy. The rugged wore open-work crochet sweaters in open defiance of the Palouse winds. The truly rugged continued to wear shorts in December. Long hair and short, short bobs were seen on both men and women. Women wore leggings under skirts and sweaters and both men and women stepped out in pegged jeans or pleated pants.</p> 
 <p>From the <a href=""http://www.lib.uidaho.edu/digital/gem/1991/index.html"" target=""_blank"">1991 Gem of the Mountains Digital Yearbook.</a></p> 
</div>",yes;yes;yes;yes,vintage; vintage fashion; 1990s fashion; 1990s; idaho; university of idaho; uidaho; fashion,../../media/100165448055_1.jpg ;../../media/100165448055_2.jpg ;../../media/100165448055_3.jpg ;../../media/100165448055_4.jpg 
100246013434,2014-10-17,"<img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100246013434.jpg ""> 
<div class=""caption"">
 <p>Vintage postcard of sheep crossing the Grand Coulee Dam in Washington. From the <a href=""http://www.lib.uidaho.edu/digital/postcards/"" target=""_blank"">Northwest Historical Postcards Collection</a>.</p> 
</div>",yes,postcard; postcards; vintage; history; sheep; dams; water; rivers; bridges; idaho; washington; northwest; sheep herding; herding; farming; animals; cute,../../media/100246013434.jpg 
100327840120,2014-10-18,"<img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100327840120.jpg ""> 
<div class=""caption"">
 <p>A winter scene on Payette Lake near McCall, Idaho. From the <a href=""http://www.lib.uidaho.edu/digital/postcards/"" target=""_blank"">Northwest Historical Postcards Collection</a>.</p> 
</div>",yes,winter; idaho; lakes; mccall idaho; payette lake; postcards; postcard; snow; landscape,../../media/100327840120.jpg 
100415777787,2014-10-19,"<img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100415777787.jpg ""> 
<div class=""caption"">
 <p>Portrait of Mr. and Mrs. Robert Graham Scrafford. Born in 1925, Robert served in the Army 100th Infantry Division during World War II and trained troops during the Korean War. From the <a href=""http://www.lib.uidaho.edu/digital/barstock/"" target=""_blank"">Barnard Stockbridge Photograph Collection</a>.</p> 
</div>",yes,portrait; couples; vintage; vintage fashion; men; women; womens fashion; couple; cute; photography; sepia; history; idaho,../../media/100415777787.jpg 
100506655911,2014-10-20,"<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100506655911_0.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100506655911_1.jpg""> </p> 
<div class=""caption"">
 <p>Vintage postcard of the Spokane County Courthouse in Spokane, Washington. Postcard is postmarked September 1912. From the <a href=""http://www.lib.uidaho.edu/digital/postcards/"" target=""_blank"">Northwest Historical Postcards Collection</a>.</p> 
</div>",yes;yes,vintage; history; postcard; postcards; vintage postcards; spokane; spokane washington; washington; courthouse; courthouses; buildings; stamps; handwriting; mail,../../media/100506655911_1.jpg ;../../media/100506655911_2.jpg 
100590715267,2014-10-21,"<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100590715267_0.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100590715267_1.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100590715267_2.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100590715267_3.jpg""> </p> 
<div class=""caption"">
 <p>Built in 1901, Ridenbaugh Hall is the oldest building on the University of Idaho campus. The building was first used as a women’s dormitory and the site of domestic science classes and was named for Mary E. Ridenbaugh, vice-president of the Board of Regents, and regent from 1901 to 1907. From the <a href=""http://www.lib.uidaho.edu/digital/campus/"" target=""_blank"">Campus Photograph Collection</a>.</p> 
</div>",yes;yes;yes;yes,vintage; buildings; idaho; uidaho; university of idaho; rooms; interiors; exteriors; history; 1900s,../../media/100590715267_1.jpg ;../../media/100590715267_2.jpg ;../../media/100590715267_3.jpg ;../../media/100590715267_4.jpg 
100673186127,2014-10-22,"<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100673186127_0.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100673186127_1.jpg""> </p> 
<div class=""caption"">
 <p>Inside a student dorm room, 1909. From the <a href=""http://www.lib.uidaho.edu/digital/campus/"" target=""_blank"">Campus Photograph Collection</a>.</p> 
</div>",yes;yes,vintage; vintage fashion; student life; res life; dorm life; dorm living; dormitory; idaho; uidaho; university of idaho; students; women,../../media/100673186127_1.jpg ;../../media/100673186127_2.jpg 
100754838925,2014-10-23,"<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100754838925_0.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100754838925_1.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100754838925_2.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100754838925_3.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100754838925_4.jpg""> </p> 
<p> <img src=""https://www.lib.uidaho.edu/digital/objects/uidahodigital/100754838925_5.jpg""> </p> 
<div class=""caption"">
 <p>Vintage Fashion: Female faculty at the University of Idaho, 1907 edition. From the <a href=""http://www.lib.uidaho.edu/digital/gem/1907/index.html"" target=""_blank"">1907 Gem of the Mountains Digital Yearbook</a>.</p> 
</div>",yes;yes;yes;yes;yes;yes,women; vintage fashion; feminism; faculty; portraits; black and white; teachers; idaho; uidaho; university of idaho; cool chicks from history,../../media/100754838925_1.jpg ;../../media/100754838925_2.jpg ;../../media/100754838925_3.jpg ;../../media/100754838925_4.jpg ;../../media/100754838925_5.jpg ;../../media/100754838925_6.jpg 
